sl_no,constituency_name,district_name,winning_candidate,sex,age,party,constituency_type,total_electors,valid_votes,candidate_votes,turnout,candidate_vote_share,winning_margin
32,INDI,BIJAPUR,YASHAVANTARAYAGOUDA VITTALAGOUDA PATIL,M,45,INC,General,200749,138775,58562,69.13,42.2,24
33,SINDGI,BIJAPUR,BHUSANUR RAMESH BALAPPA,M,54,BJP,General,184900,128355,37834,69.42,29.48,0.59
34,AFZALPUR,GULBARGA,MALIKAYYA VENKAYYA GUTTEDAR,M,57,INC,General,190336,128606,38093,67.57,29.62,4.07
35,JEVARGI,GULBARGA,AJAY DHARAM SINGH,M,39,INC,General,197259,144563,67038,73.29,46.37,25.39
36,SHORAPUR,YADGIR,RAJA VENKATAPPA NAYAK,M,56,INC,ST,220310,146207,65033,66.36,44.48,2.79
37,SHAHAPUR,YADGIR,GURU PATIL SHIRAVAL,M,43,KJP,General,188066,127118,54924,67.59,43.21,4.56
38,YADGIR,YADGIR,DR. MAALAKAREDDY,M,75,INC,General,190536,119778,40434,62.86,33.76,7.6
39,GURMITKAL,YADGIR,BABURAO CHINCHANASOOR,M,62,INC,General,203045,129030,36051,63.55,27.94,1.28
40,CHITTAPUR,GULBARGA,PRIYANK M. KHARGE,M,34,INC,SC,190429,123716,69379,64.97,56.08,25.21
41,SEDAM,GULBARGA,DR SHARANPRAKASH PATIL,M,46,INC,General,185201,135976,53546,73.42,39.38,8.75
42,CHINCHOLI,GULBARGA,DR UMESH G JADAV,M,54,INC,SC,169337,112983,58599,66.72,51.87,23.07
43,GULBARGA RURAL,GULBARGA,G.RAMKRISHNA,M,72,INC,SC,211123,123418,40075,58.46,32.47,5.84
44,GULBARGA DAKSHIN,GULBARGA,DATTATRAYA C. PATIL REVOOR (APPU GOUDA),M,31,BJP,General,211956,117303,36850,55.34,31.41,8.5
45,GULBARGA UTTAR,GULBARGA,QAMAR UL ISLAM,M,66,INC,General,208698,104839,50498,50.23,48.17,19.19
46,ALAND,GULBARGA,B.R. PATIL,M,63,KJP,General,192986,132385,67085,68.6,50.67,12.93
47,BASAVAKALYAN,BIDAR,MALLIKARJUN SIDRAMAPPA KHUBA,M,36,JD(S),General,198007,126172,37494,63.72,29.72,12.6
48,HOMNABAD,BIDAR,RAJASHEKHAR BASAVARAJ PATIL,M,49,INC,General,206145,136013,64694,65.98,47.56,18.01
49,BIDAR SOUTH,BIDAR,ASHOK KHENY,M,62,KMP,General,181107,124857,47763,68.94,38.25,12.64
50,BIDAR,BIDAR,GURUPADAPPA NAGAMARPALLI,M,71,KJP,General,190262,112971,50718,59.38,44.89,2.28
51,BHALKI,BIDAR,ESHWARA KHANDRE,M,51,INC,General,200474,147091,58012,73.37,39.44,6.57
52,AURAD,BIDAR,PRABHU B. CHAVAN,M,44,BJP,SC,189099,129101,61826,68.27,47.89,17.96
53,RAICHUR RURAL,RAICHUR,THIPPARAJU,M,36,BJP,ST,195582,134739,50497,68.89,37.48,2.43
